,,,,,,,,
United Nations Provisional Central Product Classification (CPC),United Nations Provisional Central Product Classification Description,GSIN Code,GSIN Description EN,GSIN Description FR,UNSPSC Code,UNSPSC Description EN,UNSPSC Description FR,
,,,,,,,,
511 Pre-erection work at construction sites,5111 Site investigation work,N/A,  ,,,,,
,5112 Demolition work,5112B,Demolition Work,Travaux de démolition,,,,
,5113 Site formation and clearance work,5113B,Rock Blasting Services,Services de dynamitage du roc,,,,
,5114 Excavating and earthmoving work,5114C,Excavating and Earthmoving Work,Excavation et terrassement,,,,
,5115 Site preparation work for mining,N/A,,,,,,
,5116 Scaffolding work,5116A,Scaffolding Work,Échafaudage,,,,
512 Construction work for buildings,5121 For one - and two - dwelling buildings,5121A,Construction of One and Two Dwelling Buildings,Construction d'un et deux édifices à logements,,,,
,5122 For multi - dwelling buildings,5122A,Construction of Multi-Dwelling Buildings,Construction des édifices à logements multiples,,,,
,5123 For warehouses and industrial buildings,5123B,Construction of Warehouses and Industrial Buildings,Construction d'entrepôts et de bâtiments industriels,,,,
,5124 For commercial buildings,5124B,Construction of Commercial Buildings,Construction d'édifices commerciaux,,,,
,5125 For public entertainment buildings,N/A,,,,,,
,"5126 For hotel, restaurant and similar buildings",N/A,,,,,,
,5127 For educational buildings,5127B,Construction of Educational Buildings,Construction de bâtiments scolaires,,,,
,5128 For health buildings,5128B,Construction of Health Buildings,Construction d'établissements de conditionnement physique,,,,
,5129 For other buildings,5129B,Construction of Other Buildings,Construction d'autres édifices,,,,
513 Construction work for civil engineering,"5131 For highways (except elevated highways), streets, roads, railways and airfield runways",5131BB,Paving Contractor Services (except mud jacking),Services d'entrepreneur en pavage (sauf  injection de boue),,,,
,,5131BG,Oil Road Spreading Services,Services de répandage d'huile sur les routes,,,,
,,5131BI,Asphalt and Joint Sealing Services,Services de scellement pour asphalte et joints,,,,
,,5131C,"Highways, Roads, Railways,  Airfield Runways","Autoroutes, rues, routes, voies ferrées, pistes d'aéroport",,,,
,"5132 For bridges, elevated highways, tunnels and subways",5132A,"Bridges, Elevated Highways, Tunnels, Subways and Railroads","Ponts, autoroutes surélevées, tunnels, viaducs et voies ferrées",,,,
,"5133 For waterways, harbours, dams and other waterworks",5133B,Irrigation and Flood Control,Irrigation et contrôle des inondations,,,,
,,5133C,"Waterways, Harbours, Dams and Other Water Works","Voies de navigation, ports, barrages et autres adductions d'eau",,,,
,,5133D,Sewers/ Drainage,Égouts / Drainage,,,,
,"5134 For long distance pipelines, communication and power lines (cables)",5134A,Power Distribution and Transmission Lines,Distribution et transmission de l'électricité,,,,
,,5134B,Pipeline Construction,Construction de pipe-lines,,,,
,5135 For local pipelines and cables; ancillary works,N/A,,,,,,
,5136 For constructions for mining and manufacturing,5136A,Construction for Mining and Manufacturing,Construction pour l'exploitation minière et la fabrication,,,,
,5137 For constructions for sport and recreation,N/A,,,,,,
,5138 Dredging Services,5138A,Dredging,Dragage,,,,
,,5138B,Dredging Services - Land Based,Services de dragage - base terrestre,,,,
,,5138C,Dredging Services - Floating Plant,Services de dragage - installation flottante,,,,
,5139 For engineering works n.e.c.,5139A,"Construction Services, Not Elsewhere Specified","Services de construction, non énumérés ailleurs",,,,
,,5139B,"Engineering Works, Not Elsewhere Specified","Travaux d'ingénierie, non énumérés ailleurs",,,,
,,5139C,General Heavy Construction,Grands travaux généraux,,,,
,,5139D,General Marine Construction Work,Travaux généraux de construction maritime,,,,
514 Assembly and erection of prefabricated constructions,5140 Assembly and erection of prefabricated constructions,5141A,"Prefabricated Constructions, Supply and Erection",Constructions préfabriquées - fourniture et érection,,,,
515 Special trade construction work,5151 Foundation work (incl. pile driving),5151A,Foundation Work,Travaux d'excavation,,,,
,,5151B,Pile Driving,Enforcement de pieux,,,,
,5152 Water well drilling,5152A,WATER WELL DRILLING,FORAGE DE PUITS D EAU,,,,
,,5152AA,Water Well Services,Services de creusage de puits,,,,
,,5152B,Water Well Drilling,Forage de puits d'eau,,,,
,5153 Roofing and water proofing,5153A,"Roofing, Siding and Sheet Metal Installation Services","Services d'installation - couvertures, parements et tôlerie",,,,
,,5153AB,"Roofing, Asphalt and Shingle Services",Services - couvertures d'asphalte et de bardeaux,,,,
,,5153AE,Building Sheet Metal Services,Services - tôlerie de bâtiment,,,,
,,5153AF,Eavestroughing Services,Services - gouttières,,,,
,,5153AG,Industrial Waterproofing Membrane Systems (Roofing),Systèmes de membrane d'imperméabilisation industriels (couvertures),,,,
,,5153B,Roofing and Waterproofing,Travaux de couverture et d'imperméabilisation,,,,
