"Federal Supply Codes
""L1 GSIN""","Federal Supply Codes Description
""L2 GSIN""
http://everyspec.com/FSC-CODE/ 
",Full GSIN Code,GSIN Description
,,,
10 Weapons,"1005 Guns, through 30mm",N1005,"Guns, through 30 mm, unless installed in a vehicle, aircraft, ship"
,,N1005A,Small Arms and Accessories (Law Enforcement)
,"1010 Guns, over 30mm up to 75mm",N1010,"Guns, over 30 mm up to 75 mm, unless installed in a vehicle, aircraft, or ship"
,"1015 Guns, 75mm through 125mm",N1015,"Guns, 75 mm through 125 mm, unless installed in a vehicle, aircraft, ship"
,,N1015A,"Guns, 75 mm Through 125 mm and Accessories"
,"1020 Guns, over 125mm through 150mm",N1020,"Guns, over 125 mm through 150 mm unless installed in a vehicle, aircraft, ship"
,"1025 Guns, over 150mm through 200mm",N1025,"Guns, over 150 mm through 200 unless installed in a vehicle, aircraft, ship"
,"1030 Guns, over 200mm through 300mm",N1030,"Guns, over 200 mm through 300 mm"
,"1035 Guns, over 300mm",N1035,"Guns, over 300 mm"
,1040 Chemical Weapons and Equipment,N1040,"Chemical Weapons and Equipment, Flame Throwers, and Smoke Generators"
,,N1045,"Launchers, Torpedo and Depth Charges, Unless Installed in a Vehicle, Aircraft, Ship"
,,N1055,"Launchers, Grenade, Rocket and Pyrotechnic"
,,N1070,"Nets and Booms, Ordnance"
,1075 Degaussing - Mine Sweeping Equipment,N1075,Degaussing and Minesweeping Equipment
,,N1075999,Degaussing Equipment Electrical and Electronic Components and Spares
,,N1075A,Minesweeping Equipment
,1080 Camouflage and Deception Equipment,N1080,Camouflage and Deception Equipment
,1090 Assemblies Interchangeable Between Weapons in Two or More Classes,N1090,Assemblies Interchangeable Between Weapons in Two or More Classes
,1095 Miscellaneous Weapons,N1095,Miscellaneous Weapons
11 Nuclear Ordinance,,N1105,Nuclear Bombs
,1110 Nuclear Projectiles,N1110,Nuclear Projectiles
,,N1115,Nuclear Warheads and Warhead Sections
,,N1120,Nuclear Depth Charges
,,N1125,Nuclear Demolition Charges
,,N1127,Nuclear Rockets
,,N1130,"Conversion Kits, Nuclear Ordnance"
,"1135 Fuzing and Firing Devices, Nuclear Ordnance",N1135,"Fusing and Firing Devices, Nuclear Ordnance"
,,N1140,Nuclear Components
,,N1145,"Explosive and Pyrotechnic Components, Nuclear Ordnance"
,,N1190,"Specialized Test and Handling Equipment, Nuclear Ordnance"
,1195 Miscellaneous Nuclear Ordnance,N1195,Miscellaneous Nuclear Ordnance
12 Fire Control Equipment,,N1210,Fire Control Directors
,1220 Fire Control Computing Sights and Devices,N1220,Fire Control Computing Sights and Devices
,"1230 Fire Control Systems, Complete",N1230,"Fire Control Systems, Complete"
,,N1230999,"Fire Control Systems, Complete, Electrical and Electronic Components and Spares, Marine and Non-Specific Components"
,,N1230AA,"Fire Control Systems, Complete, Except Electrical and Electronic, Marine and Non-Specific Components"
,1240 Optical Sighting and Ranging Equipment,N1240,Optical Sighting and Ranging Equipment
,,N1240AA,"Binoculars and Cases, Fire Control, Marine and Non-Specific Components"
,,N1240AB,"Binoculars and Cases, Fire Control, Except Marine and Non-Specific Components"
,,N1240BA,"Periscopes, Fire Control, Marine and Non-Specific Components"
,,N1240C,"Telescopes and Cases, Fire Control"
,,N1240D,"Sights, Optical, Fire Control"
,,N1240DB,"Sights, Optical, Fire Control - Small Arms"
,,N1240DD,"Sights, Optical, Fire Control, N.E.S."
,,N1240E,"Optical Sighting and Ranging Equipment, Electrical and Electronic"
,,N1250,Fire Control Stabilizing Mechanisms
,,N1260,Fire Control Designating and Indicating Equipment
,,N1265,Fire Control Transmitting and Receiving Equipment (Except Airborne)
,1270 Aircraft Gunnery Fire Control Components,N1270,Aircraft Gunnery Fire Control Components
,"1280 Aircraft, Bombing Fire Control Components",N1280,Aircraft Bombing Fire Control Components
,"1285 Fire Control Radar Equipment, except Airborne",N1285,"Fire Control Radar Equipment, Except Airborne"
,,N1287,Fire Control Sonar Equipment
,,N1287203,Fire Control Sonar Equipment-Submarine Borne
,1290 Miscellaneous Fire Control Equipment,N1290,Miscellaneous Fire Control Equipment
13 Ammunition and Explosives,"1305 Ammunition, through 30mm",N1305,"Ammunition, through 30mm"
,"1310 Ammunition, over 30mm up to 75mm",N1310,"Ammunition, over 30mm up To 75mm"
,"1315 Ammunition, 75mm through 125mm",N1315,"Ammunition, 75mm through 125mm"
,"1320 Ammunition, over 125mm",N1320,"Ammunition, over 125mm"
,1325 Bombs,N1325,Bombs
,1330 Grenades,N1330,Grenades
,1336 Guided Missile Warheads and Explosive Components,N1336,Guided Missile Warheads and Explosive Components
,,N1337,"Guided Missile and Space Vehicle Explosive Propulsion Units, Solid Fuel, and Components"
,"1338 Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel and Components",N1338,"Guided Missile and Space Vehicle Inert Propulsion Units, Solid Fuel, and Components"
,"1340 Rockets, Rocket Ammunition and Rocket Components",N1340,"Rockets, Rocket Ammunition and Rocket Components"
,1345 Land Mines,N1345,Land Mines
,,N1346,Remote Munitions
,1350 Underwater Mine Inert Components,N1350,Underwater Mine Inert Components
,,N1351,Underwater Mine Explosive Components
,,N1352,Underwater Mine Disposal Inert Devices
,,N1353,Underwater Mine Disposal Explosive Devices
,1355 Torpedo Inert Components,N1355,"Torpedoes and Components, Inert"
,,N1356,"Torpedos and Components, Explosive"
,1360 Depth Charge Inert Components,N1360,"Depth Charges and Components, Inert"
,,N1361,"Depth Charges and Components, Explosive"
,1365 Military Chemical Agents,N1365,Military Chemical Agents
,,N1367A,"Tactical Sets, Kits and Outfits"
,1370 Pyrotechnics,N1370,Pyrotechnics
,1375 Demolition Materials,N1375,Demolition Materials
,1376 Bulk Explosives,N1376,Bulk Explosives
