nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr,date-file-published
JX3610A,"[""VAN""]","Duplicating Equipment - Repair and Overhaul","Équipement de duplication - réparation et révision","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
JX3610AA,"[""VAN""]","Photocopying Machines and Accessories - Repair","Machines à photocopier et accessoires - réparation","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
JX7830,"[""VAN""]","Recreational and Gymnastic Equipment - Repair","Équipements de divertissement et de gymnastique - réparation","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
JX7830B,"[""VAN""]","Recreational Bowling Alleys - Repair","Divertissement, boulodrome - réparation","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N3610BE,"[""VAN""]","Photocopying Machines and Accessories","Machines à photocopier et accessoires","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N3610BEC,"[""VAN""]","Photocopier Control/Audit System","Machine à photocopier, système de commande et contrôle","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines à photocopier, duplicateur intelligent au laser","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines à photocopier, tout en couleur","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025095,"[""VAN""]","PRINTERS PAGE COLOUR","Imprimante page par page couleur","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser","[""http://www.geds.gc.ca/en/GEDS/?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://www.geds.gc.ca/fr/SAGE?pgid=017&dn=ou%3DACQ75-APP75%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DACQ-APP%2Cou%3DPR-RP%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]",Active,Actif,"2019-09-30 16:52:14"
