SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Proposal,Services,Request for Proposal for Prime consultant Services for Wainwright - Blessed Sacrament School Two-Story Four-Classroom Addition,Architect Services,2019-08-01T22:00:00,MaryAnn,Threinen,780-842-3992,(780)842-5322,2019-06-24T20:34:27,2019-06-24T20:44:05,"Proposal Submission:
Attention: Charlie McCormack
Email: charlie.mccormack@ecacs16.ab.ca",RFP Prime Consultant Services Two-Story Four-Classroom Addition,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=ADE6199E-EBC6-4483-9FA2-01DF73F4944C,C113A Architect/Engineer Services - Educational Buildings  C211D Architect and Engineering Services - Buildings,,ade6199e-ebc6-4483-9fa2-01df73f4944c,2019-06-24,AB-2019-04016
Request for Proposal,Goods,"Collection of scrap metals, white goods and auto hulks","Council asked to repost for the July 10th meeting as there was only one submission.
It is for the collection of scrap metals, white goods and auto hulk in Calling Lake Transfer Site, Wabasca Landfill, Red Earth Landfill, Trout Lake Transfer Site and Peerless Lake Transfer site.",2019-07-10T16:00:00,Kimball,Newberry,(780)891-3815,(780)891-4284,2019-06-18T16:55:35,2019-06-27T16:36:47,"M.D. of Opportunity #17
Wabasca, AB
Box 60
2077 Mistassiniy Road
T0G-2K0",Scrap metal and White Goods,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=9FF315A8-D7C8-45B2-BF83-02DC393CC7F1,E199A Waste Recycling Services  E199AC Non-Hazardous Waste Recycling - Real Property  N4250 Recycling and Reclamation Equipment  N9670 Iron and Steel Scrap,"Responses must be received by 10:00:00 on Wednesday July 10,2019 at the address above with the RFP number and Scrap Metals Marked on the envelope. 

Emailed or fax responses will not be accepted.",9ff315a8-d7c8-45b2-bf83-02dc393cc7f1,RFP 43-31-19,AB-2019-03907
Request for Quotation,Services,,"The selected respondent will be expected to provide the following construction services. A basic list of overall expected construction quantities is listed below but Respondents should reference the price schedules for the individual quantities at each location.

·  720m2 of Asphalt Trail;

·  65m2 of Concrete Sidewalk and Transit Pads;

·  320m2 of Landscaping Repair;

·  5 - Concrete Curb Ramps;",2019-07-03T19:30:59,Joel,Johnson,4033428273,,2019-06-18T19:18:20,2019-06-18T20:30:00,"Electronic Bid Submissions only, shall be received by the Bidding System.",Pedestrian Connection - 2019,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=326D67D8-8572-4C83-A76B-032C6870DD41,"5154A Concrete Work  K107A Landscaping and Horticultural Services  N3895A Asphalt Equipment  N3895AC Asphalt Paving Machines  N5610C Concrete  N5610LB Aggregate, Concrete","Electronic Bid Submissions only, shall be received by the Bidding System, no later than 1:30:59 P.M. (Alberta
Time) on July 3, 2019.
Note: Quotations will not be opened publicly.
PEDESTRIAN CONNECTIONS - 2019
Quotations must be received by the submission deadline outlined above, electronically, through the Bidding System.
The closing time and date shall be determined by the Bidding System’s web clock. Late submissions are not
permitted by the Bidding System.
Respondents are cautioned that the timing of the Quotation submission is based on when the Quotation is
received by the Bidding System, not when a Quotation is submitted by a Respondent, as Quotation transmission
can be delayed due to file transfer size, transmission speed, etc. For these reasons, it is recommended that
Respondents allow sufficient time to upload their Submission and attachment(s) (if applicable) and to resolve any
issues that may arise.
The City will not accept Quotations by fax, email or hard copy.",326d67d8-8572-4c83-a76b-032c6870dd41,RFQ-2019-70,AB-2019-03917
Notice of Proposed Procurement,Goods,,Declaration for Municipality of Crowsnest Pass.,2019-08-01T05:00:00,Deserie,Michalsky,403-563-2220,,2018-08-02T17:46:12,2018-08-02T17:51:12,,Buying Group,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=65D6725F-D3C8-4AB4-8342-03917F90C0B4,"JX2610 Tires and Tubes, Pneumatic, except Aircraft - Repair  N3805 Earthmoving and Excavating Equipment  N3830DA Blades, Dozer, Earth Moving  N3830DB Blades, Snowplow  N7530M PAPER, OFFICE STATIONERY  N9999 Miscellaneous Items",,65d6725f-d3c8-4ab4-8342-03917f90c0b4,AB-2018 - 019,AB-2018-05071
Invitation to Pre-Qualify,Services,Alberta Transportation - Information for Engineering Consultant Pre-Qualification.,"In order to comply with the Trade, Investment, and Labor Mobility Agreement between British Columbia and Alberta (TILMA), this is a permanent and continuous open call for pre-qualification of engineering consultants who wish to provide prime consultant services to Alberta Transportation. 

Engineering consultants who wish to provide prime consultant services for Alberta Transportation on major highway, bridge, planning and water management projects must be pre-qualified by the Department.  Consultants wishing to apply for pre-qualified status must submit details of their firm’s staff, capabilities, expertise and experience in the categories of work they wish to be pre-qualified.   A committee of senior Department personnel will evaluate all submissions to determine if the consultant meets the requirements for pre-qualification in each category.

Detailed information regarding Consultant pre-qualification can be found at:

http://www.transportation.alberta.ca/704.htm",2019-12-31T19:00:00,Allan,Donovan,(780)422-4202,(780)422-2822,2009-01-08T22:49:28,2009-01-08T22:57:20,,Alberta Transportation - Information for Consultant Pre-Qualification,Alberta,Open,Agreement on Internal Trade (AIT),Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=6DE28F78-0864-4BC3-814D-03FF63B161E3,"C122A Architect/Engineer Services - Highways, Roads, Bridges & Railways  C219BK Engineering Services - Construction Management  C219C Engineering Services  C219CJ Engineering Services: Quantity Survey/Cost Estimating","Detailed information regarding Consultant pre-qualification can be found at:

http://www.transportation.alberta.ca/704.htm",6de28f78-0864-4bc3-814d-03ff63b161e3,AT-ECPQ001,AB-2009-00076
Invitation to Tender,Construction,"Municipal District of Bonnyville 2019 Base Paving Project
• Part A: Township Road - from Rge Road 435 to Rge Road 440 (approx. 1.60 km)
• Part B: Intersection Improvement at Hwy 55 and Rge Road 433","Municipal District of Bonnyville 2019 Base Paving Project
• Part A: Township Road - from Rge Road 435 to Rge Road 440 (approx. 1.60 km)
• Part B: Intersection Improvement at Hwy 55 and Rge Road",2019-07-17T19:30:00,Robin,Bartlett,780-826-3951,,2019-06-28T17:28:19,2019-06-28T17:38:30,,Twp Rd 622 and Hwy 55/Rge Rd 433 Intersection Improvement,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=BB57A79F-4E53-459E-B56A-04E5FD378801,"5131BB Paving Contractor Services (except Mud Jacking)  5131C Highways, Roads, Railways,  Airfield Runways",,bb57a79f-4e53-459e-b56a-04e5fd378801,103-2019,AB-2019-04128
Request for Proposal,Goods,,"Edmonton Catholic Separate Schools District No. 7 (ECSD) is requesting Proposals from bondable, qualified and experienced bidders to submit their Proposals for Data Centre Upgrade. Bidders are invited by ECSD to submit a proposal in accordance with the terms and conditions of this Request for Proposal (RFP).",2019-07-11T20:00:00,Lisa,Dunkin,780-441-6150,,2019-06-28T14:30:27,2019-06-28T14:38:42,"Lumen Christi, Catholic Education Centre
9807-106 St.
Edmonton AB T5K 1C2",Q-2019-53 Data Centre Upgrade,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=3E37215E-EA4B-4EA2-9A38-0516B30D1F09,N7025 ADP Input-Output and Storage Devices  N7025430 MASS STORAGE SUBSYSTEMS - VERY LARGE  N9999 Miscellaneous Items,Please review the RFP package attached for response specifics.,3e37215e-ea4b-4ea2-9a38-0516b30d1f09,Q-2019-53,AB-2019-04116
Request for Pre-Qualification,Services,,"Alberta Justice and Solicitor General (JSG) requires Court Transcription Services for various court proceedings in Alberta.  JSG's Resolution and Court Administration Services Division, Transcript Management Services (TMS), provides services throughout Alberta, including transcription services for all levels of court and provides copies of transcripts to the private sector and the public at a pre-established rate.  JSG intends to establish a pre-qualified list of vendors to provide Court Transcription Services.",2019-10-31T20:00:59,Faith,Neil,(780)000-0000,(780)000-0000,2016-10-05T18:32:48,2016-10-05T18:38:26,Refer to Document,Standing Offer for Court Transcription Services,Alberta,Open,AIT & NWPTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=0DD96171-873F-4AFB-888D-06C8ADD47073,R006AD Transcription Services,,0dd96171-873f-4afb-888d-06c8add47073,16-128-RCAS-TRANSCRIPT,AB-2016-06171
Invitation to Bid,Services,,The intent of this bid call is to solicit and receive formal offers to provide underground water main services at multiple CRHC sites throughout the City of Edmonton.,2019-07-08T17:00:00,Capital Region Housing Corporation,Procurement,0,,2019-06-24T16:34:25,2019-06-24T16:37:09,"Capital Region Housing Corporation 
10160 - 112 Street 
Edmonton AB  T5K 2L6

Submit all submissions to the receptionist located on the main floor",19P-BID-OP-Underground Water Mains-Multiple,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=31417934-5954-428F-92A0-079E70C18EA6,"5133D Sewers/ Drainage  5139A Construction Services, Not Elsewhere Specified",,31417934-5954-428f-92a0-079e70c18ea6,19P-BID-OP-Underground Water Mains-Multiple,AB-2019-04009
Call for Tenders,Construction,"Project consists of 2 blocks of sanitary sewer and water main replacement, with paving of  base gravels once completed. Pathway and Parking lot paving on gravel base completed by others.","VILLAGE OF STANDARD
2019 Infrastructure Upgrades
The work included in this project is located in Standard, Alberta.
Major work items are as follows: 
.1	Install 200 mm PVC Water Main – 380 m 
.2	Replace 200 mm PVC Sanitary Main – 285 m 
.3	Replace 3 5A Manholes – 10 vm
.4	Granular Base – 2,500 m2
.5	Granular Sub-base – 2,750 m2 
.6	Grade and Compact Existing Gravels Parking and Pathway – 9,000 m2 
.7	Asphalt Paving Mix “B” 75 mm Depth – 7,900 m2
.8	3.0 m Pathway 60 mm Depth Asphalt Paving Mix “B” – 3,500 m2",2019-07-04T20:00:00,Yvette,April,403-644-3968,,2019-06-19T20:15:25,2019-06-19T21:00:12,,2019 Infrastructure Upgrades,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=03E2724B-2A68-444F-8462-08ADD1ED476F,5131BB Paving Contractor Services (except Mud Jacking)  5139C General Heavy Construction,,03e2724b-2a68-444f-8462-08add1ed476f,2360-052-00,AB-2019-03943
